Wiki,dbname,DP-means (4 clusters),DP-means (5 clusters),Hierarchical (10 clusters),Hierarchical (4 clusters),Hierarchical (5 clusters),k-means (4 clusters),k-means (5 clusters),k-means (10 clusters),Model-based (4 clusters)
Chechen Wikipedia,cewiki,2,2,3,1,1,4,3,7,7
Sanskrit Wikipedia,sawiki,2,2,3,1,1,4,3,2,1
Malagasy Wikipedia,mgwiki,2,2,8,3,3,4,3,7,10
Finnish Wikiquote,fiwikiquote,1,2,6,3,4,4,3,2,7
Greek Wikisource,elwikisource,1,2,6,3,4,4,3,2,7
Kurdish Wiktionary,kuwiktionary,2,2,3,1,1,4,3,7,7
Neapolitan Wikipedia,napwiki,2,2,6,3,4,4,3,2,5
Central Bikol Wikipedia,bclwiki,1,2,6,3,4,4,3,2,5
Ukrainian Wikisource,ukwikisource,1,2,6,3,4,4,3,2,7
Hungarian Wikibooks,huwikibooks,2,2,6,3,4,4,3,2,7
Faroese Wikipedia,fowiki,2,2,7,1,1,4,3,2,1
Danish Wiktionary,dawiktionary,2,2,6,3,4,4,3,7,7
Serbian Wikisource,srwikisource,1,2,6,3,4,4,3,2,7
Lithuanian Wiktionary,ltwiktionary,2,2,3,1,1,4,3,7,9
Minangkabau Wikipedia,minwiki,2,2,6,3,4,4,3,7,5
Bangla Wikisource,bnwikisource,2,2,3,1,1,4,3,2,7
Azerbaijani Wikisource,azwikisource,1,2,6,3,4,4,3,2,7
Italian Wikinews,itwikinews,2,2,6,3,4,4,3,2,7
Goan Konkani Wikipedia,gomwiki,1,2,3,1,1,2,3,8,3
Haitian Creole Wikipedia,htwiki,2,2,3,1,1,4,3,7,1
Maithili Wikipedia,maiwiki,1,2,6,3,4,4,3,2,5
Quechua Wikipedia,quwiki,1,2,6,3,4,4,3,2,10
Guarani Wikipedia,gnwiki,1,2,6,3,4,4,3,2,5
Old English Wikipedia,angwiki,1,2,7,1,1,4,3,2,2
Chinese Wikivoyage,zhwikivoyage,1,2,6,3,4,2,3,2,5
Dutch Wikivoyage,nlwikivoyage,1,2,6,3,4,2,3,2,5
Banyumasan Wikipedia,map_bmswiki,1,2,3,1,1,4,3,7,7
Ukrainian Wikivoyage,ukwikivoyage,1,1,6,3,4,2,3,2,1
Sindhi Wikipedia,sdwiki,1,2,5,1,1,4,3,2,6
Rusyn Wikipedia,ruewiki,1,2,6,3,4,2,3,2,5
Czech Wikibooks,cswikibooks,1,2,3,1,1,2,3,2,5
Scottish Gaelic Wikipedia,gdwiki,2,2,6,3,4,4,3,2,5
Swedish Wikisource,svwikisource,2,2,6,3,4,4,3,2,7
Armenian Wikisource,hywikisource,2,2,6,3,4,4,3,2,7
Lao Wikipedia,lowiki,1,2,8,3,3,2,3,2,10
Tamil Wikisource,tawikisource,1,2,3,1,1,4,3,2,7
Hausa Wikipedia,hawiki,1,2,4,3,3,2,3,2,1
Piedmontese Wikipedia,pmswiki,2,2,6,3,4,4,3,7,5
Arabic Wikiversity,arwikiversity,1,2,5,1,1,2,3,2,6
Mingrelian Wikipedia,xmfwiki,1,2,8,3,3,4,3,2,10
Thai Wikiquote,thwikiquote,1,2,4,3,3,2,3,2,9
Volapuk Wikipedia,NA,2,2,6,3,4,4,3,7,7
Emiliano-Romagnolo Wikipedia,emlwiki,1,2,6,3,4,4,3,2,10
Yoruba Wikipedia,yowiki,2,2,3,1,1,4,3,7,7
Zazaki Wikipedia,diqwiki,1,2,6,3,4,4,3,2,5
West Flemish Wikipedia,vlswiki,1,2,6,3,4,4,3,2,5
Croatian Wiktionary,hrwiktionary,2,2,4,3,3,4,3,7,9
Tagalog Wikibooks,tlwikibooks,1,1,4,3,3,2,5,5,9
Greek Wikibooks,elwikibooks,1,1,6,3,4,2,5,5,8
Hebrew Wikivoyage,hewikivoyage,1,2,5,1,1,2,3,2,6
Pampanga Wikipedia,pamwiki,1,2,3,1,1,4,3,2,10
Ligurian Wikipedia,lijwiki,1,2,6,3,4,2,3,2,10
Maltese Wikipedia,mtwiki,1,2,6,3,4,4,3,2,5
Low Saxon Wikipedia,nds_nlwiki,1,2,6,3,4,4,3,2,10
Upper Sorbian Wikipedia,hsbwiki,1,2,6,3,4,4,3,2,7
Greek Wikiquote,elwikiquote,1,2,4,3,3,2,3,2,5
Ladino Wikipedia,ladwiki,1,2,6,3,4,2,3,2,7
Walloon Wikipedia,wawiki,1,2,6,3,4,4,3,2,10
Silesian Wikipedia,szlwiki,1,2,6,3,4,4,3,2,10
Azerbaijani Wikibooks,azwikibooks,1,2,6,3,4,2,3,2,7
Estonian Wiktionary,etwiktionary,2,2,6,3,4,4,3,7,7
Sardinian Wikipedia,scwiki,1,2,6,3,4,4,3,2,5
Min Dong Chinese Wikipedia,cdowiki,1,2,6,3,4,4,3,7,10
Mongolian Wiktionary,mnwiktionary,1,2,6,3,4,2,3,2,7
Finnish Wikisource,fiwikisource,1,2,6,3,4,4,3,2,7
Dutch Wikisource,nlwikisource,1,2,6,3,4,4,3,2,7
Achinese Wikipedia,acewiki,1,2,6,3,4,4,3,2,1
Catalan Wikiquote,cawikiquote,3,3,3,1,1,2,1,8,3
Hakka Chinese Wikipedia,hakwiki,1,2,6,3,4,4,3,2,10
Bulgarian Wikiquote,bgwikiquote,1,2,4,3,3,2,3,2,9
Latin Wikisource,lawikisource,1,2,6,3,4,2,3,2,7
Chinese Wikinews,zhwikinews,1,2,3,1,1,4,3,2,5
Indonesian Wikisource,idwikisource,1,2,6,3,4,4,3,2,7
Hungarian Wikiquote,huwikiquote,1,2,4,3,3,2,3,2,5
Eastern Mari Wikipedia,mhrwiki,1,2,6,3,4,4,3,2,7
